epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63E+12,2021-09-29T13.36.32.462,1.61,-0.629,0.689,0.493
1.63E+12,2021-09-29T13.36.32.468,1.616,-0.628,0.686,0.493
1.63E+12,2021-09-29T13.36.32.473,1.621,-0.628,0.688,0.491
1.63E+12,2021-09-29T13.36.32.477,1.625,-0.629,0.69,0.492
1.63E+12,2021-09-29T13.36.32.483,1.631,-0.627,0.688,0.494
1.63E+12,2021-09-29T13.36.32.487,1.635,-0.625,0.688,0.495
1.63E+12,2021-09-29T13.36.32.493,1.641,-0.625,0.688,0.493
1.63E+12,2021-09-29T13.36.32.497,1.645,-0.629,0.688,0.49
1.63E+12,2021-09-29T13.36.32.503,1.651,-0.628,0.689,0.493
1.63E+12,2021-09-29T13.36.32.508,1.656,-0.628,0.689,0.489
1.63E+12,2021-09-29T13.36.32.512,1.66,-0.627,0.688,0.496
1.63E+12,2021-09-29T13.36.32.518,1.666,-0.627,0.691,0.494
1.63E+12,2021-09-29T13.36.32.522,1.67,-0.631,0.69,0.49
1.63E+12,2021-09-29T13.36.32.528,1.676,-0.629,0.689,0.489
1.63E+12,2021-09-29T13.36.32.533,1.681,-0.626,0.686,0.495
1.63E+12,2021-09-29T13.36.32.538,1.686,-0.628,0.689,0.492
1.63E+12,2021-09-29T13.36.32.543,1.691,-0.628,0.689,0.49
1.63E+12,2021-09-29T13.36.32.547,1.695,-0.63,0.688,0.491
1.63E+12,2021-09-29T13.36.32.553,1.701,-0.628,0.686,0.49
1.63E+12,2021-09-29T13.36.32.557,1.705,-0.627,0.689,0.487
1.63E+12,2021-09-29T13.36.32.563,1.711,-0.625,0.69,0.49
1.63E+12,2021-09-29T13.36.32.568,1.716,-0.627,0.687,0.495
1.63E+12,2021-09-29T13.36.32.574,1.722,-0.627,0.688,0.496
1.63E+12,2021-09-29T13.36.32.578,1.726,-0.628,0.692,0.494
1.63E+12,2021-09-29T13.36.32.582,1.73,-0.63,0.691,0.495
1.63E+12,2021-09-29T13.36.32.588,1.736,-0.631,0.69,0.494
1.63E+12,2021-09-29T13.36.32.593,1.741,-0.629,0.69,0.496
1.63E+12,2021-09-29T13.36.32.599,1.747,-0.627,0.688,0.495
1.63E+12,2021-09-29T13.36.32.603,1.751,-0.627,0.69,0.498
1.63E+12,2021-09-29T13.36.32.609,1.757,-0.631,0.688,0.497
1.63E+12,2021-09-29T13.36.32.613,1.761,-0.631,0.689,0.495
1.63E+12,2021-09-29T13.36.32.619,1.767,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.32.623,1.771,-0.627,0.685,0.495
1.63E+12,2021-09-29T13.36.32.628,1.776,-0.626,0.685,0.491
