Elapsed Time (s),Velocity No Drift (m/s)
1.48,-0.0017171048499997899
1.484,-0.0015932255499997855
1.49,-0.0017898659499997888
1.495,-0.0018556664499998071
1.5,-0.0019214669499997838
1.505,-0.002036300699999785
1.509,-0.00198106794999979
1.515,-0.002138481749999796
1.519,-0.0018969226499997854
1.525,-0.002132789649999786
1.53,-0.0021397502499997945
1.536,-0.002375617249999795
1.54,-0.002428257649999793
1.544,-0.002363218249999785
1.55,-0.0024814054499997795
1.555,-0.002488366049999774
1.56,-0.0025051332999997816
1.565,-0.0024728672999997647
1.571,-0.002512601299999778
1.575,-0.00244756189999977
1.58,-0.002532975699999787
1.585,-0.002549742949999767
1.59,-0.0023213439499997907
1.596,-0.0023120446999997796
1.6,-0.0023058451999997814
1.606,-0.0025024855999997847
1.61,-0.002319766399999784
1.616,-0.00247718019999979
1.621,-0.0024253008999997883
1.625,-0.002468134649999787
1.631,-0.00266477504999979
1.635,-0.0024820558499997897
1.641,-0.0025610164499997867
1.645,-0.0024371371499997824
1.651,-0.0027122307499997805
1.656,-0.002660351449999779
1.66,-0.002801251699999785
1.666,-0.0028409856999997846
1.67,-0.002658266499999784
1.676,-0.002933360099999782
1.681,-0.003116840399999793
1.686,-0.0030355411499997653
1.691,-0.0031013416499997837
1.695,-0.003193208649999779
1.701,-0.00342907564999978
1.705,-0.003481716049999778
1.711,-0.0038744894499997823
1.716,-0.003999129849999783
1.722,-0.003989830599999786
1.726,-0.003689431599999793
1.73,-0.003663618799999782
1.736,-0.003742579399999779
1.741,-0.0036318601999997813
1.747,-0.0035735276999997873
1.751,-0.003331968599999763
1.757,-0.0032932493999997814
1.761,-0.0029340104999997924
1.767,-0.0030129710999997755
1.771,-0.0029479316999997812
1.776,-0.0029548922999997757
1.782,-0.0031417260499997934
1.786,-0.003017846749999775
1.792,-0.0031360339499997836
1.796,-0.0031298344499997577
1.802,-0.003444154649999781
1.807,-0.003274595549999787
1.811,-0.0031212962999997707
1.817,-0.003317936699999774
1.823,-0.0032203775999997686
1.827,-0.0031553381999997743
1.831,-0.003286431799999767
1.837,-0.0033261657999997807
1.842,-0.0031566066999997866
1.846,-0.003052340699999795
1.852,-0.003209754499999773
1.856,-0.002909355499999794
1.862,-0.0032236756999997895
1.867,-0.0033483160999997763
1.872,-0.0032670168499997765
1.877,-0.003332817349999767
1.883,-0.0034215845999997774
1.887,-0.0030035057999997505
1.892,-0.0031281461999997373
1.897,-0.0030958801999997343
1.902,-0.002916514449999713
1.908,-0.00305431494999972
1.912,-0.003048115449999722
1.918,-0.003323209049999748
1.922,-0.0031993297499997297
1.927,-0.003206290349999752
1.933,-0.0032950575999997345
1.937,-0.00323001819999974
1.944,-0.0035378851999997296
1.947,-0.003273359349999755
1.953,-0.0034405797999997323
1.957,-0.003316700499999742
1.962,-0.0033236610999997362
1.968,-0.003314361849999725
1.974,-0.0036286820499997208
1.978,-0.003799002249999739
1.982,-0.003969322449999757
1.988,-0.004087509649999738
1.993,-0.004094470249999732
1.997,-0.004039237499999737
2.004,-0.0040725182999997445
2.007,-0.004082578649999752
2.013,-0.0044263187999997455
2.017,-0.004243599599999759
2.023,-0.00432256019999977
2.028,-0.004211840999999716
2.032,-0.004205641499999746
2.038,-0.004363055299999724
2.042,-0.004121496199999741
2.048,-0.00423968339999975
2.053,-0.0043054838999997125
2.059,-0.004443284399999747
2.063,-0.004319405099999729
2.069,-0.00443759229999971
2.073,-0.004313712999999719
2.078,-0.004438353399999706
2.083,-0.004455120649999728
2.088,-0.004324788149999703
2.094,-0.00446258864999971
2.1,-0.004600389149999745
2.104,-0.004594189649999719
2.108,-0.0046860566499997425
2.113,-0.004693017249999737
2.119,-0.004634684749999757
2.123,-0.004569645349999735
2.129,-0.00476628574999971
2.133,-0.004701246349999744
2.139,-0.004937113349999744
2.143,-0.004813234049999754
2.148,-0.0048594212499997735
2.154,-0.00504625499999975
2.158,-0.004922375699999787
2.164,-0.005197469299999813
2.168,-0.005250109699999811
2.174,-0.005446750099999759
2.179,-0.005277190999999765
2.183,-0.00522195824999977
2.189,-0.005418598649999773
2.193,-0.005235879449999731
2.199,-0.005393293249999709
2.204,-0.005282574049999739
2.209,-0.005348374549999729
2.214,-0.005316108549999726
2.218,-0.0052608757999997036
2.224,-0.005575195999999727
2.228,-0.005510156599999733
2.234,-0.005746023599999733
2.239,-0.005694144299999759
2.245,-0.005831944799999794
2.249,-0.0054727058999997635
2.255,-0.005590893099999744
2.259,-0.0054081738999997575
2.264,-0.005493587699999747
2.269,-0.005804554449999749
2.274,-0.005821321699999715
2.28,-0.005762989199999707
2.284,-0.005580269999999721
2.29,-0.005776910399999724
2.294,-0.0058883906999996904
2.299,-0.006013031099999677
2.305,-0.0058566320999997035
2.309,-0.005615072999999693
2.315,-0.005811713399999668
2.319,-0.005570154299999658
2.325,-0.005766794699999661
2.33,-0.005891435099999648
2.334,-0.0058852355999996775
2.34,-0.005964196199999661
2.344,-0.005781476999999646
2.35,-0.006017343999999675
2.354,-0.00583462479999966
2.36,-0.006070491799999661
2.365,-0.006077452399999711
2.369,-0.0060222196499996605
2.375,-0.006258086649999661
2.379,-0.006251887149999691
2.385,-0.006448527549999666
2.39,-0.0064554881499996886
2.395,-0.006423222149999658
2.4,-0.006538055899999673
2.404,-0.006777022649999687
2.41,-0.00697366304999969
2.414,-0.006673264049999655
2.42,-0.006791451249999636
2.425,-0.006798411849999658
2.431,-0.006740079349999678
2.435,-0.006792719749999676
2.439,-0.006806133549999649
2.445,-0.006963547349999627
2.45,-0.007029347849999673
2.455,-0.0071441815999996605
2.46,-0.007209982099999651
2.466,-0.007347782599999686
2.47,-0.007518102799999704
2.476,-0.007793196399999702
2.48,-0.008022356499999717
